0 12
0 5
0 13
0 7
0 9
2 19
0 6
0 2
0 1
0 6
0 6
0 5
0 2
0 19
0 6
0 8
0 19
0 19
0 1
0 8
0 19
0 12
0 9
0 5
0 9
0 6
0 12
0 12
0 2
0 5
0 1
0 7
0 10
0 9
0 10
0 11
0 6
0 10
0 9
0 6
0 8
0 9
0 10
0 12
0 1
0 11
0 1
0 6
0 9
0 8
0 19
0 14
0 5
0 2
0 19
0 1
0 6
0 15
0 2
0 1
0 7
0 13
0 3
0 8
0 1
0 19
0 19
0 6
0 6
0 1
0 6
0 8
0 19
0 6
0 19
0 5
0 6
0 2
0 6
0 13
0 6
0 12
0 5
0 6
0 8
0 19
0 9
0 10
0 8
0 1
0 6
0 19
0 2
0 6
0 19
0 11
0 9
0 9
0 10
0 12
0 12
0 8
0 9
0 19
0 15
0 5
0 1
0 9
0 15
0 6
0 10
0 8
0 12
2 15
0 8
0 19
0 15
0 15
0 9
0 2
0 12
0 6
0 9
0 6
0 1
0 2
0 9
0 6
0 19
0 19
0 3
0 8
0 5
0 10
0 6
0 2
0 10
0 7
0 1
0 11
0 1
0 5
0 2
0 1
0 9
0 9
0 10
0 3
0 1
0 8
0 12
0 6
0 5
0 6
0 5
0 2
0 1
0 19
0 12
0 10
0 2
0 3
0 19
0 12
0 8
0 10
0 1
0 15
0 15
0 9
0 1
0 9
0 1
0 7
0 12
0 6
0 9
0 7
0 7
0 2
0 13
0 7
0 2
0 5
0 5
0 6
0 9
0 15
0 5
0 1
0 14
0 9
0 12
0 15
0 15
0 1
0 19
0 14
0 6
0 2
0 7
0 15
0 9
0 6
0 9
0 14
0 7
0 17
0 19
0 9
0 8
0 2
0 12
0 5
0 1
0 1
0 1
0 15
0 2
0 1
0 6
0 1
0 10
0 1
0 19
0 15
0 12
0 0
0 7
0 1
0 19
0 10
0 19
0 10
0 19
0 6
0 19
0 9
0 9
0 5
0 7
0 1
0 8
0 12
0 8
0 6
0 1
0 8
0 15
0 6
0 2
0 2
0 9
0 6
0 6
0 6
0 13
0 6
0 6
0 8
0 6
0 15
0 6
0 13
0 7
0 1
0 1
0 9
0 6
0 3
0 19
0 13
0 1
0 9
0 1
0 7
0 8
0 1
0 8
0 8
0 6
0 12
0 7
0 6
0 6
0 10
0 9
0 15
0 3
0 5
0 9
0 8
0 7
0 13
0 7
2 10
0 6
0 2
0 19
0 1
0 8
0 1
0 17
0 10
0 18
0 10
0 15
0 6
0 6
0 15
0 6
0 6
0 1
0 10
0 19
0 6
0 7
0 12
0 6
0 1
0 19
0 15
0 6
0 6
0 19
0 1
0 2
0 13
0 12
0 6
0 2
0 7
0 9
0 6
0 6
0 6
0 2
0 6
0 5
0 12
0 15
0 6
0 15
0 7
0 6
0 10
0 2
0 6
0 5
0 9
2 16
0 6
0 6
0 1
0 8
0 7
0 1
0 3
0 6
0 9
0 5
0 6
0 2
0 2
0 1
0 1
0 19
0 19
0 10
0 1
0 12
0 6
0 9
0 10
0 2
0 19
0 19
0 6
0 9
2 8
0 8
0 12
0 2
0 17
0 6
0 5
0 6
0 6
0 1
0 13
0 10
0 8
0 12
0 10
0 1
0 6
0 12
0 6
0 9
0 13
0 1
0 19
0 12
0 1
0 19
0 4
0 1
0 12
0 6
0 8
0 8
0 2
0 9
0 18
0 3
0 1
0 2
0 15
0 1
0 8
0 10
0 17
0 11
0 2
0 9
0 1
0 5
0 15
0 8
0 9
0 6
0 15
0 8
0 6
0 6
0 8
0 15
0 9
0 2
0 9
0 19
0 17
0 6
0 6
0 9
0 2
0 12
0 5
0 10
0 15
0 6
0 13
0 12
0 6
0 3
0 19
0 15
0 19
0 1
0 6
0 6
0 6
0 6
0 10
0 9
0 12
0 6
0 10
0 1
0 1
0 9
0 19
0 2
0 2
0 1
0 2
0 8
0 6
0 8
0 7
0 11
0 6
0 10
0 9
0 19
0 6
0 13
0 10
0 8
0 8
0 8
0 5
0 1
0 2
0 5
0 1
0 8
0 5
0 1
0 19
